source,text,date,compound,positive,neutral,negative,tweets ago
BBC,"RT @BBCEarth: Just a seal getting a good tummy-rub from a diver, no biggie 

#OurBluePlanet with @Sealdiver ",2018-07-27 12:50:53+00:00,0.5719,0.255,0.649,0.095,69
BBC, This man wants people to stop pretending to have sex with his hedge. ,2018-07-27 12:24:44+00:00,-0.2023,0.084,0.783,0.133,70
BBC,RT @BBCClick: The @BBCProms projection show at the Royal Albert Hall had lights so strong that planes were told not to fly over it! ,2018-07-27 12:14:56+00:00,0.674,0.165,0.835,0.0,71
BBC,⛷ This is one way to keep dogs cool in the heat! ,2018-07-27 12:00:18+00:00,0.3802,0.191,0.809,0.0,72
BBC," From 'the God particle' to our ability to observe gravitational waves, here are 7 extraordinary things science ha… ",2018-07-27 11:02:04+00:00,0.5267,0.216,0.784,0.0,73
BBC," Skywatchers will be treated to the longest ""blood moon"" eclipse of the century tonight, with the totality period… ",2018-07-27 09:51:01+00:00,0.0,0.0,1.0,0.0,74
BBC,RT @bbccomedy: British or American Stand-up? 🤔 ,2018-07-27 09:38:09+00:00,0.0,0.0,1.0,0.0,75
BBC, A Scottish three year old's take on the summer holidays. ,2018-07-27 08:00:16+00:00,0.6705,0.332,0.57,0.098,76
BBC,❤️ A teenager who attached uplifting messages to a bridge to help people facing a mental health crisis has helped… ,2018-07-27 07:26:02+00:00,-0.34,0.124,0.688,0.188,77
BBC, @BoyGeorge discovers that in 1919 his grandmother was found wandering the streets alone as a 6 year old child.… ,2018-07-27 07:01:03+00:00,-0.6249,0.0,0.769,0.231,78
BBC,"After being abused on dating apps for having HIV, Joe has turned to art to help combat the stigma. 
(via @BBCThree) ",2018-07-26 19:02:05+00:00,-0.4588,0.102,0.682,0.216,79
BBC,"Tonight, a team of inventors attempt to change the lives of three inspiring people with very different problems. … ",2018-07-26 18:02:07+00:00,-0.046,0.129,0.735,0.137,80
BBC,A dog called Minnie has been reunited with her owners two years after thieves stole a truck she was sleeping in. … ,2018-07-26 17:01:06+00:00,-0.5106,0.0,0.852,0.148,81
BBC,"RT @bbcpress: Late for the first game of @BBCMOTD, missed the first dance on #Strictly or tuned in halfway through #EastEnders? Pushing the…",2018-07-26 16:11:16+00:00,-0.296,0.0,0.909,0.091,82
BBC,"♥️ Four-year-old Daniel and 91-year-old Stuart, who has dementia, have struck up an unlikely friendship.  ",2018-07-26 16:02:03+00:00,0.2263,0.162,0.726,0.112,83
BBC,RT @bbcweather: It is officially the hottest day of the year so far in the UK with temperatures soaring to 35C in west London. ,2018-07-26 15:40:44+00:00,0.0,0.0,1.0,0.0,84
BBC,"""I would like to do it all over again. There was a war on but otherwise it was absolutely wonderful."" ❤️️

Remember… ",2018-07-26 13:01:05+00:00,-0.1779,0.075,0.819,0.106,85
BBC," You don't want to get between two fighting kangaroos!
#LifeStory ",2018-07-26 12:02:06+00:00,-0.4614,0.0,0.749,0.251,86
BBC,"A record number of primary school children are leaving school severely obese, according to new figures from Public… ",2018-07-26 11:00:16+00:00,-0.4019,0.067,0.777,0.155,87
BBC,"RT @BBCEngland: The last living female pilot from World War Two, Mary Ellis, has died aged 101 at her home on the Isle of Wight ",2018-07-26 08:45:35+00:00,-0.8176,0.0,0.754,0.246,88
BBC,"This school is tackling their single-use plastic problem one lunchbox at a time.
#PlasticsAction ",2018-07-26 08:00:00+00:00,-0.4019,0.0,0.816,0.184,89
BBC,We call violence an ‘epidemic’ – and there is reason to take that literally... treating it like an infectious disea… ,2018-07-26 07:28:06+00:00,-0.3818,0.106,0.72,0.174,90
BBC,"♨️ Having trouble sleeping in this heatwave?
#HeatwaveUK ",2018-07-26 07:01:02+00:00,-0.4019,0.0,0.722,0.278,91
BBC,"Colin Firth stars in an award-winning adaptation of Jane Austen's classic romance. 

Pride and Prejudice |… ",2018-07-25 19:02:00+00:00,0.4019,0.258,0.601,0.142,92
BBC,"From @rosskemp to @sirpatstew: these are the ultimate Extras celebrity cameos. 

",2018-07-25 18:02:05+00:00,0.4404,0.193,0.711,0.096,93
BBC,"Is this Africa’s most inventive neighbourhood? 🥑

",2018-07-25 16:02:05+00:00,0.0,0.0,1.0,0.0,94
BBC,"Researchers have found evidence of an existing body of liquid water on Mars.
 ",2018-07-25 14:37:40+00:00,0.0,0.0,1.0,0.0,95
BBC,RT @BBCWthrWatchers: On Friday night you may see the moon turn red during a total lunar eclipse. Lasting 1 hr 40 mins it will be the longes…,2018-07-25 13:57:01+00:00,0.0,0.0,1.0,0.0,96
BBC," A jab that protects against a virus that causes cervical cancer will be given to boys aged 12 to 13 in England.
… ",2018-07-25 13:02:05+00:00,-0.4767,0.086,0.749,0.165,97
BBC,"RT @bbcpress: 🤣 Want to write comedy? Want a six-month bursary to train and develop your skills at the BBC?
⏰ TIME IS RUNNING OUT! The dead…",2018-07-25 12:40:25+00:00,0.6759,0.24,0.696,0.064,98
BBC," These dolphins were rescued after getting stranded in shallow water in Tasmania. 

",2018-07-25 12:03:04+00:00,0.4215,0.189,0.811,0.0,99
BBC,"'I downloaded all my Facebook data and it was a nightmare'. 🤦‍♀️

Have you ever wondered what your data actually l… ",2018-07-25 11:02:03+00:00,0.0,0.0,1.0,0.0,100
CBS,"Housewives. PTA moms. School volunteers. Starting TONIGHT, hear the stories of seemingly innocent women who put it… ",2018-07-28 16:43:56+00:00,0.34,0.13,0.87,0.0,1
CBS,"This is one allowance that can’t be beat! Kids are winning big this week on @PriceIsRight. 
 ",2018-07-25 17:25:36+00:00,0.75,0.285,0.715,0.0,2
CBS,"Renowned artists Cher, Philip Glass, Reba McEntire, Wayne Shorter, and the co-creators of #Hamilton will be recogni… ",2018-07-25 15:12:31+00:00,0.0,0.0,1.0,0.0,3
CBS,Who's excited for the return of @MurphyBrownCBS? Here's a behind-the-scenes look at the first table read of the sea… ,2018-07-25 01:05:03+00:00,0.34,0.124,0.876,0.0,4
CBS,"Mark your calendars because you won’t want to miss this! Former Secretaries of State @HillaryClinton, @Madeleine, a… ",2018-07-24 18:54:14+00:00,-0.1511,0.071,0.825,0.104,5
